1240,2773
2990,1063
1399,1404
0,427
1396,786
1398,395
199,1329
1217,781
2303,2186
732,41
660,1818
2721,1495
2091,2055
1616,1748
1970,1580
1574,2213
2172,1957
2746,374
2439,63
1657,2210
2953,653
310,2888
2184,106
2358,187
327,794
2835,2078
629,136
333,209
2763,2302
1539,23
2915,2021
736,908
2712,1791
2642,21
2969,2633
1177,2084
1225,1340
291,1828
1243,949
1650,2974
715,769
2714,835
59,1310
2897,2074
2125,251
1619,846
656,1621
2738,2516
2238,1209
733,224
318,1228
1970,1585
2299,2951
1931,767
1793,1839
1731,1302
2920,1424
644,732
2120,301
1107,1607
1403,1288
1587,2356
62,587
9,1547
2034,40
1235,1304
1617,899
466,2322
2118,713
365,2959
2713,34
820,2024
686,159
2228,2821
2440,2435
1728,1917
1039,1321
1819,822
2907,785
2997,2680
2143,624
1758,41
2315,2098
1855,904
512,155
2847,2923
678,658
1919,2044
2186,1231
2207,593
1719,307
1862,1370
773,2467
1613,1962
1184,1490
2597,1504
1713,7
847,2729
636,1930
2751,1641
1309,2898
1953,1419
2131,519
931,1743
2496,675
1023,1893
521,1400
1997,467
1015,1357
2700,73
675,1571
2646,540
2656,631
159,2228
1305,2149
2548,1152
2258,2819
1496,464
393,1209
110,176
1794,1355
2623,24
1804,2859
1096,1383
1271,816
1035,438
1626,680
2776,1735
1142,1015
2222,1500
2950,321
2451,1621
688,1593
1273,2689
308,2194
1848,2487
2322,2081
996,1539
2267,1777
352,913
1200,2735
89,2498
2555,2024
1587,1548
928,2567
596,2414
659,1150
567,159
1782,2754
532,1082
2870,1151
2628,558
2094,2644
1933,2319
2410,1516
975,657
229,2253
2719,449
1220,1774
2626,2978
999,1695
1623,1701
56,2063
2632,2240
161,2574
171,703
600,437
2620,1808
2326,1347
2944,890
2775,2752
1058,1677
1269,756
368,2634
2536,1845
445,2622
490,2600
2082,1526
1510,943
1276,1573
288,1722
893,1574
7,2723
2433,2162
2060,1075
20,1049
2042,1545
1841,533
935,2171
2339,1269
35,1059
1323,1078
2860,2270
850,2590
665,1352
108,1619
1921,1588
1612,2536
1786,959
1142,2787
2005,2891
2696,1353
504,2318
2359,2026
645,14
1344,622
1140,2391
1903,945
381,2111
231,1203
2691,2282
